Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Company name
Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,79000,Diesel,Manual,First,22.0,1498.0,89.84,5.0,6.25,Ford
Maruti Swift Vdi BSIII,Hyderabad,2010,86000,Diesel,Manual,Second,17.0,1248.0,75.0,5.0,3.6,Maruti
Mercedes-Benz S Class 2005 2013 S 350 CDI,Pune,2010,137000,Diesel,Automatic,First,13.0,2987.0,282.0,5.0,18.5,Mercedes-Benz
Honda Mobilio S i VTEC,Mumbai,2015,25000,Petrol,Manual,Second,17.0,1497.0,117.3,7.0,4.25,Honda
Hyundai Grand i10 Sportz,Mumbai,2017,8500,Petrol,Manual,Second,18.0,1197.0,82.0,5.0,4.8,Hyundai
Mahindra XUV500 AT W8 FWD,Bangalore,2015,34000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.0,Mahindra
Skoda Fabia 1.6 MPI Elegance,Pune,2012,41629,Petrol,Manual,Second,14.8,1598.0,105.0,5.0,2.25,Skoda
Hyundai Santro Xing GLS,Hyderabad,2009,80227,Petrol,Manual,First,17.9,1086.0,62.1,5.0,2.3,Hyundai
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Kochi,2019,8587,Petrol,Manual,First,15.2,1591.0,121.3,5.0,13.56,Hyundai
Mahindra Scorpio 1.99 S8,Delhi,2017,30000,Diesel,Manual,First,15.0,1997.0,120.0,7.0,12.25,Mahindra
Skoda Rapid 1.6 TDI Ambition,Pune,2013,64186,Diesel,Manual,First,20.0,1598.0,103.5,5.0,3.76,Skoda
Renault Duster 110PS Diesel RxZ,Coimbatore,2015,76427,Diesel,Manual,First,19.0,1461.0,108.45,5.0,8.58,Renault
BMW X5 xDrive 30d,Hyderabad,2011,75000,Diesel,Automatic,First,11.0,2993.0,245.0,5.0,27.5,BMW
Toyota Etios G,Coimbatore,2013,27075,Petrol,Manual,First,17.0,1496.0,88.73,5.0,4.95,Toyota
Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.0,998.0,67.04,5.0,3.3,Maruti
Hyundai Creta 1.6 SX,Chennai,2016,69434,Petrol,Manual,First,15.0,1591.0,121.3,5.0,8.0,Hyundai
Maruti Celerio VXI,Jaipur,2014,56000,Petrol,Manual,First,23.0,998.0,67.04,5.0,2.79,Maruti
Land Rover Range Rover HSE Dynamic,Coimbatore,2017,49275,Diesel,Automatic,First,12.0,2179.0,187.7,5.0,45.64,Land Rover
Chevrolet Beat LT,Pune,2014,8700,Petrol,Manual,First,18.0,1199.0,76.8,5.0,2.55,Chevrolet
Tata Nano Twist XT,Ahmedabad,2014,18000,Petrol,Manual,Second,25.0,624.0,37.5,4.0,1.0,Tata
Audi A6 2011-2015 35 TDI Technology,Coimbatore,2017,41041,Diesel,Automatic,First,17.6,1968.0,174.33,5.0,37.56,Audi
Mercedes-Benz E-Class 280 CDI,Kochi,2009,80464,Diesel,Automatic,Second,11.0,2987.0,198.5,5.0,9.29,Mercedes-Benz
Maruti Swift VXI,Kochi,2019,20667,Petrol,Manual,First,22.0,1197.0,81.8,5.0,6.37,Maruti
Fiat Linea T Jet,Coimbatore,2013,60283,Petrol,Manual,First,14.0,1368.0,112.0,5.0,2.98,Fiat
Maruti Swift VXI Optional,Kochi,2017,31696,Petrol,Manual,First,20.0,1197.0,81.8,5.0,5.75,Maruti
Toyota Fortuner 3.0 Diesel,Hyderabad,2010,100000,Diesel,Manual,First,11.0,2982.0,171.0,7.0,13.0,Toyota
Maruti Ertiga ZXI,Mumbai,2014,13361,Petrol,Manual,First,16.0,1373.0,93.7,7.0,6.8,Maruti
BMW 3 Series 320i Sedan,Coimbatore,2010,48394,Petrol,Automatic,First,12.0,1995.0,154.0,5.0,10.49,BMW
Maruti Ertiga VXI,Jaipur,2014,47399,Petrol,Manual,First,16.0,1373.0,93.7,7.0,5.6,Maruti
Honda City 1.5 V AT,Mumbai,2010,69000,Petrol,Automatic,Second,16.0,1497.0,118.0,5.0,2.85,Honda
Hyundai Santa Fe 4X4,Coimbatore,2013,65278,Diesel,Manual,First,14.6,2199.0,194.3,7.0,8.36,Hyundai
Tata Indigo LS,Jaipur,2005,108000,Diesel,Manual,First,17.0,1405.0,70.0,5.0,1.0,Tata
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Kolkata,2010,50645,Petrol,Automatic,Second,10.9,2497.0,204.0,5.0,10.75,Mercedes-Benz
Maruti Swift Dzire LDi,Hyderabad,2011,130002,Diesel,Manual,First,19.0,1248.0,73.9,5.0,3.85,Maruti
Ford Fiesta Classic 1.4 Duratorq CLXI,Hyderabad,2012,107000,Diesel,Manual,First,17.0,1399.0,67.0,5.0,3.0,Ford
Honda City i VTEC CVT VX,Coimbatore,2015,41950,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,9.6,Honda
Toyota Fortuner 4x2 Manual,Delhi,2012,109000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.25,Toyota
Honda Amaze VX O i VTEC,Mumbai,2016,9000,Petrol,Manual,First,18.0,1198.0,86.7,5.0,5.75,Honda
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,43900,Diesel,Manual,First,22.5,1396.0,88.73,5.0,6.75,Hyundai
Chevrolet Enjoy TCDi LTZ 7 Seater,Bangalore,2013,64000,Diesel,Manual,Second,18.0,1248.0,73.8,7.0,4.85,Chevrolet
Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,Petrol,Automatic,First,0.0,1950.0,181.43,5.0,38.99,Mercedes-Benz
Maruti SX4 ZXI AT Leather,Mumbai,2009,77652,Petrol,Automatic,First,12.0,1586.0,103.2,5.0,2.85,Maruti
Toyota Innova 2.5 VX (Diesel) 7 Seater,Mumbai,2012,55000,Diesel,Manual,First,12.9,2494.0,100.0,7.0,9.51,Toyota
BMW 5 Series 2003-2012 520d,Ahmedabad,2012,59900,Diesel,Automatic,Second,18.4,1995.0,177.0,5.0,18.5,BMW
Renault Duster 110PS Diesel RxZ,Delhi,2015,73539,Diesel,Manual,First,19.0,1461.0,108.45,5.0,6.75,Renault
BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.6,1995.0,190.0,5.0,29.4,BMW
Honda City ZX GXi,Kochi,2009,69690,Petrol,Manual,First,17.0,1497.0,78.0,5.0,3.29,Honda
Maruti Ciaz RS ZDi Plus SHVS,Delhi,2016,41000,Diesel,Manual,First,28.0,1248.0,88.5,5.0,9.5,Maruti
Maruti Swift Dzire VXi,Pune,2010,109200,Petrol,Manual,Second,17.0,1298.0,85.8,5.0,2.2,Maruti
Mahindra XUV500 W6 2WD,Pune,2012,80000,Diesel,Manual,First,15.0,2179.0,140.0,7.0,6.5,Mahindra
Honda Civic 2006-2010 1.8 S MT,Ahmedabad,2007,51000,Petrol,Manual,First,13.0,1799.0,130.0,5.0,4.9,Honda
Maruti Ertiga ZDI,Pune,2013,105000,Diesel,Manual,Second,25.4,1248.0,88.5,7.0,6.75,Maruti
Toyota Etios Liva GD,Chennai,2013,179000,Diesel,Manual,First,23.5,1364.0,67.04,5.0,3.8,Toyota
Audi TT 2.0 TFSI,Delhi,2013,12100,Petrol,Automatic,First,9.0,1984.0,207.8,2.0,29.5,Audi
Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.1,1498.0,108.4,5.0,10.5,Skoda
Volkswagen Polo 1.5 TDI Highline,Hyderabad,2015,50000,Diesel,Manual,First,20.1,1498.0,88.8,5.0,6.2,Volkswagen
Skoda Laura 1.9 TDI AT Elegance,Jaipur,2009,48000,Diesel,Automatic,First,17.0,1896.0,105.0,5.0,5.0,Skoda
Mahindra Renault Logan 1.5 DLE Diesel,Chennai,2007,35000,Diesel,Manual,First,19.0,1461.0,65.0,5.0,2.3,Mahindra
Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,Diesel,Automatic,First,11.3,2755.0,171.5,7.0,17.0,Toyota
BMW 3 Series 320d Luxury Line,Bangalore,2014,47000,Diesel,Automatic,First,18.8,1995.0,184.0,5.0,25.5,BMW
Honda Jazz 1.5 S i DTEC,Jaipur,2015,63642,Diesel,Manual,First,27.0,1498.0,98.6,5.0,5.65,Honda
Honda Amaze VX i-DTEC,Kochi,2015,62550,Diesel,Manual,First,25.0,1498.0,98.6,5.0,5.6,Honda
Jaguar XF 2.2 Litre Luxury,Kochi,2015,37340,Diesel,Automatic,First,16.3,2179.0,187.7,5.0,29.98,Jaguar
Maruti Swift Dzire VDI,Coimbatore,2016,38461,Diesel,Manual,First,26.5,1248.0,74.0,5.0,7.39,Maruti
Jeep Compass 2.0 Limited,Jaipur,2018,29000,Diesel,Manual,First,17.0,1956.0,170.0,5.0,19.0,Jeep
Toyota Corolla Altis 1.8 Sport,Pune,2010,31000,Petrol,Manual,First,12.0,1794.0,132.0,5.0,5.0,Toyota
Honda City 1.5 V MT,Kolkata,2011,42086,Petrol,Manual,First,17.0,1497.0,118.0,5.0,3.35,Honda
Maruti Swift ZXI,Chennai,2013,49000,Petrol,Manual,First,18.0,1197.0,85.8,5.0,4.45,Maruti
Hyundai Verna 1.6 SX CRDI (O) AT,Coimbatore,2019,77240,Diesel,Automatic,First,22.3,1582.0,126.32,5.0,8.31,Hyundai
Mahindra Bolero ZLX,Jaipur,2012,105000,Diesel,Manual,Second,15.9,2523.0,62.1,7.0,6.0,Mahindra
Maruti Swift VDI,Chennai,2014,35000,Diesel,Manual,First,22.0,1248.0,74.0,5.0,5.25,Maruti
Hyundai Santro Xing XO,Chennai,2006,83072,Petrol,Manual,First,17.0,1086.0,94.0,5.0,1.4,Hyundai
Audi A6 2011-2015 2.0 TDI Premium Plus,Hyderabad,2012,202082,Diesel,Automatic,First,17.6,1968.0,174.33,5.0,12.3,Audi
Ford Ikon 1.3 LXi NXt,Chennai,2004,129000,Petrol,Manual,Third,13.0,1299.0,70.0,5.0,1.5,Ford
Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.1,1498.0,88.0,5.0,8.12,Volkswagen
Mahindra Bolero VLX CRDe,Coimbatore,2012,60271,Diesel,Manual,First,13.0,2523.0,63.0,7.0,6.12,Mahindra
Honda City i DTEC VX Option,Coimbatore,2017,45366,Diesel,Manual,First,25.0,1498.0,98.6,5.0,10.88,Honda
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,9500,Petrol,Manual,First,18.0,1199.0,82.5,5.0,3.5,Chevrolet
Hyundai i20 1.2 Spotz,Kochi,2016,42362,Petrol,Manual,First,18.0,1197.0,81.83,5.0,6.15,Hyundai
BMW X1 sDrive 20d Sportline,Chennai,2016,21000,Diesel,Automatic,First,17.0,1995.0,184.0,5.0,33.0,BMW
BMW X1 sDrive 20d Exclusive,Mumbai,2012,15200,Diesel,Automatic,First,15.0,1995.0,177.0,5.0,13.5,BMW
Toyota Fortuner 4x2 AT,Mumbai,2015,43690,Diesel,Automatic,First,12.5,2982.0,168.5,7.0,17.11,Toyota
Audi Q7 4.2 TDI Quattro Technology,Kochi,2014,79926,Diesel,Automatic,First,11.3,4134.0,335.2,7.0,29.77,Audi
Maruti Ertiga VDI,Kolkata,2013,53073,Diesel,Manual,First,20.7,1248.0,88.76,7.0,5.95,Maruti
Hyundai i20 1.2 Magna,Bangalore,2015,59000,Petrol,Manual,First,18.0,1197.0,80.0,5.0,5.75,Hyundai
Mercedes-Benz S Class 2005 2013 S 350 L,Bangalore,2006,47088,Petrol,Automatic,Second,10.1,3498.0,364.9,5.0,19.0,Mercedes-Benz
Renault Duster 85PS Diesel RxL,Ahmedabad,2014,55000,Diesel,Manual,First,20.4,1461.0,83.8,5.0,4.75,Renault
Mahindra Quanto C2,Hyderabad,2013,80430,Diesel,Manual,Second,17.2,1493.0,100.0,7.0,3.3,Mahindra
Toyota Fortuner 4x2 AT,Delhi,2013,71932,Diesel,Automatic,First,12.5,2982.0,168.5,7.0,16.5,Toyota
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,19000,Diesel,Automatic,First,15.9,2993.0,258.0,7.0,44.0,BMW
Maruti Swift Dzire VDi,Hyderabad,2011,81759,Diesel,Manual,First,19.0,1248.0,73.9,5.0,4.39,Maruti
Maruti Swift LDI Optional,Kochi,2018,52010,Diesel,Manual,First,25.0,1248.0,74.0,5.0,6.2,Maruti
Audi A6 2011-2015 35 TFSI Technology,Kochi,2016,58953,Petrol,Automatic,First,13.5,1984.0,177.01,5.0,24.22,Audi
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,Mumbai,2008,93000,Diesel,Manual,Third,10.0,2835.0,107.2,6.0,5.45,Mitsubishi
Jaguar XF 2.2 Litre Executive,Delhi,2016,10000,Diesel,Automatic,First,16.3,2179.0,187.7,5.0,44.0,Jaguar
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,Diesel,Automatic,First,11.3,2755.0,171.5,7.0,24.82,Toyota
Skoda Octavia Ambition 2.0 TDI AT,Mumbai,2015,50000,Diesel,Automatic,First,19.0,1968.0,141.0,5.0,11.69,Skoda
Toyota Corolla Altis VL AT,Bangalore,2018,1331,Petrol,Automatic,First,14.2,1798.0,138.03,5.0,20.0,Toyota
Maruti Omni 8 Seater BSII,Pune,2010,60000,Petrol,Manual,First,19.0,796.0,35.0,8.0,1.45,Maruti
Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,Diesel,Automatic,First,17.0,2143.0,170.0,5.0,48.5,Mercedes-Benz
Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,Diesel,Automatic,First,21.0,1498.0,108.5,5.0,9.45,Volkswagen
Mahindra XUV500 W10 2WD,Ahmedabad,2015,73000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,12.5,Mahindra
Nissan Terrano XL 85 PS,Hyderabad,2014,59962,Diesel,Manual,First,20.4,1461.0,83.8,5.0,6.9,Nissan
Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,72000,Diesel,Manual,Second,22.3,1582.0,126.32,5.0,5.8,Hyundai
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,20967,Diesel,Automatic,First,14.6,2993.0,258.0,5.0,44.56,BMW
Mahindra Scorpio S4 Plus,Bangalore,2015,35000,Diesel,Manual,Second,15.0,2179.0,120.0,7.0,8.5,Mahindra
Hyundai Verna 1.6 CRDi SX,Coimbatore,2017,38056,Diesel,Manual,First,23.0,1582.0,126.2,5.0,10.7,Hyundai
Audi Q7 3.0 TDI Quattro Premium Plus,Pune,2009,94000,Diesel,Automatic,Second,12.0,2967.0,241.4,7.0,12.0,Audi
Chevrolet Aveo U-VA 1.2 LT,Coimbatore,2010,64236,Petrol,Manual,First,14.0,1150.0,76.0,5.0,2.44,Chevrolet
Mahindra Bolero ZLX BSIII,Kolkata,2000,124000,Diesel,Manual,First,13.0,2523.0,63.0,7.0,1.95,Mahindra
Hyundai Xcent 1.2 Kappa S,Mumbai,2014,7400,Petrol,Manual,First,19.0,1197.0,82.0,5.0,4.35,Hyundai
Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,Diesel,Manual,First,13.6,2393.0,147.8,8.0,17.5,Toyota
Hyundai EON Era Plus,Hyderabad,2015,68764,Petrol,Manual,First,21.0,814.0,55.2,5.0,2.9,Hyundai
Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,64000,Diesel,Manual,First,22.0,1199.0,73.9,5.0,2.9,Volkswagen
Maruti Vitara Brezza ZDi,Pune,2016,21558,Diesel,Manual,First,24.0,1248.0,88.5,5.0,8.9,Maruti
BMW 3 Series 320d Prestige,Mumbai,2013,37500,Diesel,Automatic,First,18.8,1995.0,184.0,5.0,16.75,BMW
Hyundai EON Sportz,Coimbatore,2016,14077,Petrol,Manual,First,21.0,814.0,55.2,5.0,3.95,Hyundai
Honda City 1.5 S MT,Mumbai,2009,70000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,2.1,Honda
Honda Accord 2.4 MT,Kochi,2011,54316,Petrol,Manual,Second,12.0,2354.0,177.6,5.0,4.29,Honda
Mahindra Xylo E8,Hyderabad,2009,90764,Diesel,Manual,First,14.0,2498.0,112.0,8.0,3.85,Mahindra
BMW 3 Series 320d,Chennai,2009,137000,Diesel,Automatic,Second,13.0,1995.0,170.0,5.0,9.0,BMW
Honda City V MT,Pune,2013,127000,Petrol,Manual,Second,16.0,1497.0,116.3,5.0,4.5,Honda
Mahindra XUV500 W10 2WD,Kochi,2016,51884,Diesel,Manual,First,16.0,2179.0,140.0,7.0,12.46,Mahindra
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,67407,Diesel,Manual,First,21.2,1396.0,88.76,5.0,4.65,Hyundai
Toyota Fortuner 4x2 Manual,Hyderabad,2014,107825,Diesel,Manual,First,13.0,2982.0,168.5,7.0,20.5,Toyota
Mahindra Bolero DI BSII,Chennai,2006,82453,Diesel,Manual,First,13.0,2523.0,63.0,8.0,2.9,Mahindra
Maruti Esteem Vxi - BSIII,Chennai,2007,30441,Petrol,Manual,First,15.0,1298.0,85.0,5.0,1.45,Maruti
Hyundai Santro LS zipPlus,Chennai,2002,70000,Petrol,Manual,Third,0.0,1086.0,94.0,5.0,0.65,Hyundai
Mini Cooper 5 DOOR D,Mumbai,2016,11000,Diesel,Automatic,First,20.0,1496.0,113.98,5.0,29.5,Mini Cooper
Audi Q3 35 TDI Quattro Premium,Hyderabad,2015,61000,Diesel,Automatic,First,15.7,1968.0,174.33,5.0,25.0,Audi
Hyundai i20 Sportz Option,Delhi,2013,48454,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,3.5,Hyundai
Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,Diesel,Manual,First,14.0,2179.0,154.0,7.0,11.25,Tata
Honda BR-V i-DTEC VX MT,Kochi,2017,32249,Diesel,Manual,First,21.0,1498.0,98.6,7.0,10.79,Honda
Volkswagen Jetta 2013-2015 2.0L TDI Highline,Kolkata,2013,58000,Diesel,Manual,First,19.3,1968.0,138.03,5.0,5.9,Volkswagen
Hyundai Xcent 1.2 Kappa S Option,Jaipur,2017,28360,Petrol,Manual,First,19.0,1197.0,81.86,5.0,5.12,Hyundai
Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,Petrol,Manual,First,20.8,1197.0,81.8,5.0,5.7,Maruti
BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,19658,Diesel,Automatic,First,18.1,1995.0,190.0,5.0,35.84,BMW
Ford Ikon 1.3 CLXi,Hyderabad,2007,92000,Petrol,Manual,First,13.0,1299.0,70.0,5.0,1.25,Ford
Hyundai i10 Sportz,Kolkata,2013,25000,Petrol,Manual,First,20.3,1197.0,78.9,5.0,2.65,Hyundai
Hyundai Verna 1.6 CRDI,Coimbatore,2016,37882,Diesel,Manual,First,22.3,1582.0,126.3,5.0,9.19,Hyundai
BMW 3 Series 320d Highline,Bangalore,2014,69330,Diesel,Automatic,First,16.0,1995.0,181.0,5.0,23.5,BMW
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Delhi,2011,61000,Petrol,Automatic,First,12.0,1796.0,185.0,5.0,12.5,Mercedes-Benz
Chevrolet Beat Option Pack,Kolkata,2010,35000,Petrol,Manual,Second,18.0,1199.0,79.4,5.0,1.5,Chevrolet
Hyundai Santro Xing XP,Jaipur,2004,200000,Petrol,Manual,First,0.0,1086.0,94.0,5.0,0.8,Hyundai
Tata Indica DLS,Jaipur,2009,82000,Diesel,Manual,Second,13.0,1405.0,94.0,5.0,0.75,Tata
Mahindra XUV500 W8 2WD,Delhi,2012,72450,Diesel,Manual,First,15.0,2179.0,140.0,7.0,8.1,Mahindra
Maruti Ciaz ZDi Plus SHVS,Jaipur,2017,36381,Diesel,Manual,First,28.0,1248.0,88.5,5.0,9.75,Maruti
Mercedes-Benz New C-Class C 250 CDI Avantgarde,Coimbatore,2017,25559,Diesel,Automatic,First,19.7,2143.0,201.15,5.0,37.93,Mercedes-Benz
Honda City ZX CVT,Chennai,2005,100000,Petrol,Automatic,Third,16.0,1497.0,78.0,5.0,1.96,Honda
Toyota Fortuner 4x2 4 Speed AT,Jaipur,2015,94000,Diesel,Automatic,First,11.0,2982.0,169.0,7.0,20.5,Toyota
Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.0,998.0,67.1,5.0,2.75,Maruti
Jaguar XJ 2.0L Portfolio,Mumbai,2017,10501,Petrol,Automatic,First,9.4,1999.0,237.4,5.0,75.0,Jaguar
Hyundai i20 1.4 Magna ABS,Chennai,2009,47000,Diesel,Manual,First,21.0,1396.0,90.0,5.0,2.8,Hyundai
Honda BRV i-VTEC V CVT,Mumbai,2017,18000,Petrol,Automatic,First,16.0,1497.0,117.3,7.0,9.25,Honda
Toyota Corolla Executive (HE),Chennai,2007,89000,Petrol,Manual,First,13.0,1794.0,125.0,5.0,3.0,Toyota
Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,49964,Diesel,Automatic,First,17.6,1968.0,174.33,5.0,23.89,Audi
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Mumbai,2014,35000,Diesel,Manual,First,12.9,2494.0,100.6,7.0,12.75,Toyota
Hyundai Grand i10 CRDi Sportz,Jaipur,2014,64000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.15,Hyundai
Volkswagen Vento IPL II Petrol Highline AT,Mumbai,2013,36000,Petrol,Automatic,First,14.0,1598.0,105.0,5.0,4.65,Volkswagen
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Delhi,2012,78600,Diesel,Manual,First,12.0,2494.0,102.0,7.0,8.9,Toyota
Hyundai Verna CRDi SX,Jaipur,2008,170000,Diesel,Manual,Second,16.0,1493.0,110.0,5.0,1.5,Hyundai
Maruti Ritz VDi,Pune,2015,65000,Diesel,Manual,Second,23.0,1248.0,73.94,5.0,3.27,Maruti
Audi Q7 3.0 TDI Quattro Technology,Pune,2008,120300,Diesel,Automatic,Second,12.0,2967.0,241.4,7.0,18.0,Audi
Hyundai i20 Asta Option 1.2,Pune,2016,21000,Petrol,Manual,First,18.0,1197.0,81.83,5.0,6.3,Hyundai
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,24.0,1248.0,88.5,5.0,11.31,Maruti
Honda City i VTEC S,Pune,2014,58407,Petrol,Manual,First,17.0,1497.0,117.3,5.0,6.16,Honda
Maruti Ciaz ZXi,Pune,2014,49500,Petrol,Manual,First,20.7,1373.0,91.1,5.0,6.0,Maruti
Nissan Sunny XV CVT,Kochi,2013,37199,Petrol,Automatic,First,17.0,1498.0,99.6,5.0,5.43,Nissan
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,62000,Diesel,Manual,First,22.0,1199.0,73.9,5.0,4.65,Volkswagen
Maruti Ertiga ZDI,Hyderabad,2015,59000,Diesel,Manual,First,20.7,1248.0,88.8,7.0,7.5,Maruti
Maruti Swift Dzire VDI,Jaipur,2015,60000,Diesel,Manual,First,26.5,1248.0,74.0,5.0,6.25,Maruti
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Bangalore,2007,39037,Diesel,Automatic,First,14.8,2143.0,170.0,5.0,9.25,Mercedes-Benz
Honda Brio S MT,Mumbai,2013,17003,Petrol,Manual,First,19.0,1198.0,86.8,5.0,3.15,Honda
Hyundai i10 Magna Optional 1.1L,Hyderabad,2008,80400,Petrol,Manual,First,16.0,1086.0,66.7,5.0,2.3,Hyundai
Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,75200,Diesel,Manual,First,22.3,1582.0,126.32,5.0,5.25,Hyundai
Maruti Ciaz VDI SHVS,Kochi,2017,41217,Diesel,Manual,First,28.0,1248.0,88.5,5.0,7.4,Maruti
Ford Ikon 1.3 Flair,Pune,2006,98293,Petrol,Manual,Second,13.0,1299.0,70.0,5.0,1.55,Ford
Volkswagen Polo 1.2 MPI Highline,Pune,2017,54000,Petrol,Manual,Second,16.0,1199.0,74.0,5.0,6.0,Volkswagen
Honda Jazz 1.2 V i VTEC,Chennai,2016,17377,Petrol,Manual,First,18.0,1199.0,88.7,5.0,5.9,Honda
Honda Amaze EX i-Dtech,Bangalore,2013,33800,Diesel,Manual,Second,25.0,1498.0,98.6,5.0,4.7,Honda
Hyundai i20 Asta 1.4 CRDi,Hyderabad,2015,86157,Diesel,Manual,First,22.5,1396.0,88.73,5.0,6.5,Hyundai
Maruti Ritz VDi,Hyderabad,2012,146824,Diesel,Manual,First,21.0,1248.0,73.9,5.0,3.55,Maruti
Honda City V MT,Chennai,2014,55000,Petrol,Manual,First,16.0,1497.0,116.3,5.0,7.1,Honda
Skoda Superb 1.8 TSI MT,Hyderabad,2010,53293,Petrol,Manual,First,13.1,1798.0,160.0,5.0,6.0,Skoda
Maruti Vitara Brezza LDi Option,Pune,2017,38000,Diesel,Manual,First,24.0,1248.0,88.5,5.0,7.99,Maruti
Hyundai i20 Asta,Bangalore,2009,64000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,4.1,Hyundai
Maruti Alto K10 VXI AGS,Hyderabad,2017,25058,Petrol,Automatic,First,24.0,998.0,67.1,5.0,3.95,Maruti
Hyundai EON Era Plus,Kochi,2016,36700,Petrol,Manual,First,21.0,814.0,55.2,5.0,4.38,Hyundai
Hyundai i10 Sportz,Mumbai,2011,35000,Petrol,Manual,First,20.3,1197.0,78.9,5.0,2.75,Hyundai
Mercedes-Benz SLK-Class SLK 350,Coimbatore,2016,22732,Petrol,Automatic,First,18.0,3498.0,306.0,2.0,55.54,Mercedes-Benz
Audi A6 2.0 TDI Design Edition,Hyderabad,2014,48000,Diesel,Automatic,First,18.5,1968.0,187.74,5.0,29.0,Audi
Ford EcoSport 1.5 TDCi Titanium,Bangalore,2013,62084,Diesel,Manual,First,22.7,1498.0,98.59,5.0,6.6,Ford
Volkswagen Passat Highline DSG,Kolkata,2012,39273,Diesel,Automatic,First,14.0,1968.0,140.0,5.0,6.99,Volkswagen
Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,Diesel,Manual,First,13.6,2393.0,147.8,7.0,18.75,Toyota
Ford Figo Diesel ZXI,Jaipur,2010,100002,Diesel,Manual,Third,20.0,1399.0,68.0,5.0,1.28,Ford
Chevrolet Aveo 1.4,Pune,2006,78000,Petrol,Manual,Third,14.4,1399.0,92.7,5.0,1.2,Chevrolet
Maruti Ritz LXi,Coimbatore,2013,57717,Petrol,Manual,First,18.0,1197.0,85.8,5.0,4.31,Maruti
Land Rover Freelander 2 SE,Chennai,2011,109000,Diesel,Automatic,First,12.3,2179.0,147.51,5.0,16.5,Land Rover
Hyundai Grand i10 Asta,Coimbatore,2017,74515,Petrol,Manual,First,18.0,1197.0,82.0,5.0,5.64,Hyundai
Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,2017,50484,Diesel,Automatic,First,10.9,3198.0,197.2,7.0,31.12,Ford
Audi Q5 2008-2012 2.0 TDI,Kochi,2013,13452,Diesel,Automatic,First,12.0,1968.0,167.6,5.0,25.46,Audi
Hyundai Verna 1.6 VTVT,Kochi,2017,37688,Petrol,Manual,First,17.0,1591.0,121.3,5.0,7.88,Hyundai
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Chennai,2017,34000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,36.0,Mercedes-Benz
Mercedes-Benz M-Class ML 350 4Matic,Pune,2014,120000,Diesel,Automatic,First,0.0,2987.0,165.0,5.0,30.0,Mercedes-Benz
Maruti Swift Dzire ZXi,Pune,2008,64000,Petrol,Manual,Second,17.0,1298.0,85.8,5.0,2.85,Maruti
